run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
41,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,136.03799954365925,0.0210726920062962,3.281609873783924,0.595,0.097,3.4690212603958157,0.592,0.085,0.6930327251172643,0.544,0.046,0.693074632427155,0.519,0.012
42,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1133.0205271874345,0.0204976435564966,29.967656267494263,0.572,0.074,31.72706146120665,0.582,0.075,0.6927139267093194,0.626,0.128,0.6927702030118371,0.615,0.108
43,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,11.872135019243084,0.0206793528674845,0.6381753694879203,0.661,0.163,0.6264734268982859,0.657,0.15,0.6928726704215744,0.593,0.095,0.692890273224253,0.583,0.076
44,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,23.613659388777457,0.0227344289705474,0.7569356335306268,0.533,0.035,0.7458008906978034,0.572,0.065,0.6925824051139302,0.718,0.22,0.692586593947163,0.72,0.213
45,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,12.03421992373125,0.0262942161680675,0.6436947635789063,0.599,0.101,0.6565530002987139,0.596,0.089,0.692317060929609,0.681,0.183,0.6924017472513997,0.667,0.16
46,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,122.6629556898232,0.019511924734489,2.1010458471655693,0.658,0.16,2.231883030321816,0.641,0.134,0.6926122050141331,0.694,0.196,0.6926849613526794,0.675,0.168
47,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,136.4666390380982,0.0216944844157624,2.321545541911431,0.606,0.108,2.236899317898239,0.633,0.126,0.692816522107255,0.645,0.147,0.6928118059956704,0.643,0.136
48,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,26.128771080574413,0.0211551511208273,1.7935205918869983,0.49,-0.008,1.7416859161734188,0.498,-0.009,0.692527070040594,0.752,0.254,0.6926041109340769,0.721,0.214
49,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,15.25406351393525,0.0253845912869896,0.9312212819900832,0.527,0.029,0.9485384432490348,0.521,0.014,0.6924486793011447,0.737,0.239,0.69252075513481,0.738,0.231
50,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1312.915347078564,0.0197000779734807,26.816496660029813,0.583,0.085,24.701206376471458,0.591,0.084,0.6926370550455181,0.74,0.242,0.6926737248522613,0.719,0.212
