run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
22,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,6263.519518134019,0.0939348775470074,inf,0.519,0.021,inf,0.535,0.028,0.6932056921750676,0.513,0.015,0.6932508942401818,0.481,-0.026
23,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,14326.064521260305,0.0898928908281671,inf,0.588,0.09,inf,0.608,0.101,0.6921953623632626,0.591,0.093,0.6921417658819855,0.613,0.106
24,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,11899.975440114487,0.1103374681848251,inf,0.616,0.118,inf,0.631,0.124,0.6927677415846026,0.535,0.037,0.6928174656863707,0.542,0.035
25,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,228.593767998925,0.0877204671156489,3.3927588586331465,0.557,0.059,3.4387207983566896,0.586,0.079,0.6923417003176083,0.604,0.106,0.6923840661632827,0.616,0.109
26,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,258.4846964861503,0.1154318709419662,4.552069855113503,0.649,0.151,4.856878103216052,0.64,0.133,0.6912174003071361,0.737,0.239,0.6911910719738078,0.728,0.221
27,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2516.3538920232413,0.0919679090623124,60.0467107760494,0.561,0.063,63.31924599050231,0.545,0.038,0.6932639157546606,0.488,-0.01,0.6932409636297143,0.465,-0.042
28,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.095285589176036,0.0938229513401764,0.9187998140096392,0.592,0.094,0.9251462137326764,0.597,0.09,0.6930392611441162,0.515,0.017,0.693047380249609,0.51,0.003
29,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,646.4334976952053,0.1038223747010775,11.20577685476418,0.629,0.131,11.266385601220817,0.622,0.115,0.6925791958849817,0.546,0.048,0.6926372831649588,0.562,0.055
30,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12314.306800857574,0.0909330521683026,inf,0.638,0.14,inf,0.62,0.113,0.6929021887406527,0.537,0.039,0.6927397465190395,0.565,0.058
31,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1243.8289343853198,0.095123453860947,19.37310165792388,0.649,0.151,20.00795761047788,0.647,0.14,0.6928072200440435,0.529,0.031,0.6928082164273387,0.526,0.019
32,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,5428.209183139405,0.0814212052949057,inf,0.584,0.086,inf,0.602,0.095,0.6926415894494121,0.561,0.063,0.6926224337390109,0.573,0.066
33,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.01,10.0,12050.110137970025,0.1060563672533356,inf,0.643,0.145,inf,0.635,0.128,0.6935476231554564,0.436,-0.062,0.6934764027385129,0.45,-0.057
34,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,669.7479304302208,0.0995478000530641,11.24781625210716,0.61,0.112,11.921470614928952,0.604,0.097,0.6923668169811787,0.6,0.102,0.6923987550787545,0.588,0.081
35,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2612.052400909058,0.0831127869020709,63.78946986650428,0.537,0.039,57.84476400209935,0.598,0.091,0.6921680580708129,0.579,0.081,0.6923523175913029,0.55,0.043
36,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,5850.024928420411,0.1062161209560153,inf,0.61,0.112,inf,0.59,0.083,0.693027841016465,0.48,-0.018,0.6929383909220606,0.497,-0.01
37,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,245.5422944405045,0.100116914994123,3.37394675804074,0.707,0.209,3.711273291410862,0.668,0.161,0.6924022219719616,0.624,0.126,0.6925530153880924,0.622,0.115
